ExternOrderNo,SKU,Order Qty
2001806471,8.90422E+12,2.00
2001806471,8.90422E+12,2.00
2001806471,8.90422E+12,1.00
2001806471,8.90422E+12,1.00
2001806471,8.90422E+12,1.00
2001806471,8.90422E+12,1.00
2001806458,8.90422E+12,1.00
2001806458,8.90422E+12,1.00
2001806446,8.90422E+12,1.00
2001806446,8.90422E+12,1.00
2001806446,8.90422E+12,1.00
2001806408,8.90422E+12,2.00
2001806408,8.90422E+12,1.00
2001806408,8.90422E+12,8.00
2001806408,8.90422E+12,1.00
2001806338,8.90422E+12,1.00
2001806338,8.90422E+12,1.00
2001806338,8.90422E+12,1.00
2001806304,8.90422E+12,1.00
2001806304,8.90422E+12,1.00
2001806304,8.90422E+12,1.00
2001806273,8.90422E+12,1.00
2001806273,8.90422E+12,1.00
2001806273,8.90422E+12,1.00
2001806273,8.90422E+12,1.00
2001806251,8.90422E+12,1.00
2001806251,8.90422E+12,1.00
2001806233,8.90422E+12,1.00
2001806233,8.90422E+12,1.00
2001806232,8.90422E+12,6.00
2001806232,8.90422E+12,2.00
2001806229,8.90422E+12,1.00
2001806229,8.90422E+12,1.00
2001806229,8.90422E+12,1.00
2001806226,8.90422E+12,2.00
2001806210,8.90422E+12,1.00
2001806210,8.90422E+12,1.00
